Drug	Protein
2145	P05108
77022	P00325
36462	P23219
3038525	Q16539
24864077	P24941
2801	P23975
60795	P08173
3958	P48169
4594	P10635
2995	P08913
2351	P05023
446605	P07477
7970	P08254
5327154	P18031
24755476	Q16539
5951	P21549
14985	P21266
5591	P10632
10133	P08684
2995	P10635
2733	P08684
4999	P34903
5281855	Q14534
2995	P33261
60823	P04035
1548887	Q03181
11840981	P49721
448650	P07195
10548	P06276
131704237	P11217
9458	Q9Y233
2244	P23219
1400	P07949
6464	Q16445
25137844	P10635
5881	Q14957
446054	P15085
13342	Q9UJT1
6915836	P07998
3608	P43681
55245	P24462
5073	P08913
5881	Q9UN88
444552	Q9Y663
46937052	P17612
24864078	P24941
124886	P10768
387447	P28070
5090	P23219
62751	Q13224
44129603	P24941
121891	P37231
3261	P18507
3821	P41145
3033825	Q14432
3033	P04798
56959	P08684
6021	P00491
5391	P18507
445354	P00352
681	P33261
33624	P08588
9433	P05177
3054	P11712
3759	P21397
2554	P10632
10267	P30613
448457	P42330
5327067	Q16539
445843	P05981
448384	P39900
445072	P11586
6291	P03372
5280805	P10632
695906	O60760
4174	P11509
4746	P10635
2712	P48169
4037	O43526
2082	P04798
33746	O14764
2519	Q07343
5311325	P30085
18068	P15291
71768094	P20815
164628	P15531
3763	P62158
447392	P18031
57525501	Q16698
3955	P62158
91443	P13995
1110	Q8WWT9
1051	Q6P996
1110	O14521
55283	P20815
3506204	O14757
6858209	P49789
3715	Q9Y5Y4
2519	Q08493
2767	P02795
6540299	Q16539
2265	P00492
61635	P31350
110635	P08684
445463	P08100
46937073	P68871
2726	P17405
4914	Q15822
444	P11712
1615	P31645
60490	P08684
6009	P10632
5280343	P06576
5002	P35462
3677	P35368
70678542	P22033
8223	P25100
21124461	Q494W8
24892821	O00519
22479942	P45984
6323491	Q15120
5340	P11511
1548972	P10635
1051	P34896
446156	P08684
1727	Q9UK17
5910	P08172
131704232	Q86VU5
3085218	P28335
7405	P15692
5497045	Q9UNI1
5359272	P35372
4594	P33261
23653532	P00749
3696	P23975
2244	Q04828
3952261	P08254
4781	P35354
9549180	P03372
448953	P00734
4474	P20813
529	P14618
3007	P08588
2165	P10632
4011	P18089
10182969	P11712
253602	P61313
5280795	P11473
2803	P18089
1701	P04406
11154555	P08908
5496862	P00734
72287	P35462
119055	P00439
46937030	P07477
6267	O43776
9750	P29475
6445226	P54855
3085218	P28223
54841	Q12879
4870	P55017
449087	P24941
1051	Q9NVS9
439153	O75306
5870	P08684
156414	P00533
3823	P10632
4469994	P60174
7028	P07550
124886	Q03013
16231	P19801
16122567	P23946
439153	O95182
11149707	P29474
4848	P11229
60789	P13945
5362391	P21731
54670067	P19021
5281855	P05771
5073	P35367
1676	Q07343
4192	P20815
5092	Q08499
2520	O00305
941361	P11712
5095	P28221
71158	Q14957
9834298	Q15120
5493444	P00797
5881	O75469
11954293	P35367
8271	P34903
3519	P18089
4369084	P08254
3121	P10632
5831	Q15822
70678542	Q9BXJ7
4472	P27338
9429	P35348
2294	P14867
1150567	P22303
6306	Q9NSE4
5284371	P24462
447912	O75469
439153	P04035
5284566	P20815
24821094	P08684
2170	P18825
44129642	P69905
4762	Q01959
3869	P08588
44462678	P06239
444718	P62829
3001028	P05177
444390	P05230
16666	Q8NET8
4761	P35367
5289179	P24941
1712	P20248
3964	P08912
3749	P10632
446541	P22309
2131	P22303
34869	P23975
5288453	Q04760
11954293	P18825
11332763	P11509
5591	P54855
439236	P00491
57525501	P11413
2995	P18089
5328940	P08684
5276507	O95749
5288867	P43235
4174	P15538
443408	O60858
9884318	P07333
97297	Q8TF76
4543	P28223
78058	Q8IVS2
122671	P00491
6009	P24462
5289333	P35030
24779676	P68400
208898	O95069
11840981	P25789
6914613	P17612
9700	P04818
23629645	P0CG22
4064	Q9UN88
24178119	Q7Z406
39186	P10635
2733526	Q05655
2723698	P07858
284	Q9NQX3
21501	P29474
72081	P47901
153994	Q13698
5735	P08684
175805	Q9Y5Y9
3821	P30939
4440	P28222
10184665	P08684
5280793	Q02318
2342	P20309
4470790	P15559
29435	Q9UKM7
6323516	P34896
170018	Q99418
10917	P23786
4369082	P08254
4909	P28472
3404	P31645
2905	P06276
440114	P06310
82148	P05177
2369	P07550
44259	P48736
71613	P11413
15433	P01595
5360696	P04839
4235	P11712
3003157	P31644
3034034	P33261
2170	P28472
667468	P08684
5311027	P43115
6917655	P50579
3339	P08684
10918	P43155
444031	P11229
449366	P09211
448577	P03372
5280346	O14957
439750	P15954
2244	Q9Y478
9823820	P35916
6918837	Q9UQL6
3446	Q9NY47
11658860	P28335
60855	Q9Y3R4
6468	Q8TCU5
259331	P11137
2662	P35354
5280795	Q02318
6013	P04798
4062	Q9Y5Y9
969472	Q9UN88
3652	Q9NR96
44462678	P78362
11167602	P20813
57525501	Q92506
6834	P20309
4116	P34903
4890	P28476
3034285	O14949
2082	Q71U36
3776	P01375
439750	P09669
25295	P35367
8977	P49411
447865	P04350
667484	P14867
2712	P14867
3035406	P08684
3000715	Q13002
8969	P28335
3001028	P08684
10635	P05108
5284566	P04798
4543	P08684
60795	P28221
5681	P62158
4543	P28335
3002190	P20815
39042	P08684
967	Q02127
447199	Q13126
3373	P28472
16058650	P27487
24963035	P07477
9869929	O76074
5284596	P03372
5329102	P08684
24894149	P35228
5591	Q9HAW7
9651	Q9GZZ6
6031	Q7Z4J2
4754	P11712
1349907	P11712
5988	P61626
2170	P48169
446556	P04818
3463	Q07869
54676228	P35354
54670067	Q02809
5743	P05108
5328940	P00519
1990	P39900
91610	Q15842
4095	Q8TCU5
54454	P11712
5287706	P29475
2160	P20309
5311325	P11488
3331	P05181
3519	P08913
8515	Q9UQF2
4914	Q01959
3562	Q6W5P4
656953	P03372
2995	P31645
7023019	P09960
16078	P11509
2477	P24462
24963047	O60674
3964	P47898
5754	P04083
64689	P01574
2247	P35367
4908	P08684
71768094	P08908
14985	P09210
23653502	P15086
44424639	P10635
72281	P05177
4601	Q9Y5Y9
3776	O60942
5359271	P24462
4167	P08172
444718	P84098
445354	Q9NYR8
2471	P13569
5459918	P22102
3333	Q9NY47
936	Q9NXA8
5253	P07550
9925908	P09874
5717	P23219
5401	P25100
42113	P47869
11561674	P01579
2761	P20309
5287834	P06746
60750	P32320
8730	P07202
10972974	P31930
3559	P21728
72287	P35368
2206	P05181
439153	Q15738
5359421	O60858
70789197	P02671
702	P17787
5193	P14867
286	P21549
936	P10635
446239	P00918
6102691	Q15788
5281042	P08172
4121	P00915
3776	P30793
5280795	P08684
10286462	Q15788
5957	O14727
896	P05177
2733	Q12791
3000715	P48169
447805	Q99798
6914621	P78536
11005	P43080
55245	P06401
115237	P35348
60835	P05177
3948	P05177
2554	P08684
2734054	P27487
23646577	P49356
16760554	P21964
5734	O60939
644073	P11712
57469	Q9NYK1
936	P00338
46937142	Q9Y5R8
25183872	P33261
3696	P35367
4909	O14764
4449	P20815
43157	Q06278
16122553	O95749
32594	Q8WX39
44424639	P08684
2519	Q14573
1130	O60779
32778	Q15842
3821	P11712
446506	P22303
6918141	P11473
216239	P10635
2907	P08684
16741237	P49137
150311	P08684
3371	P42330
57469	Q9NR97
5991	P03372
6420129	P11086
3256857	P01834
44	P23368
2789	P78334
3312	P48443
4887	P05113
46936447	O43252
444885	Q9BZZ2
24880018	Q00536
49852292	P01008
447865	Q13509
11954293	P34969
5566	P05177
8271	P42262
439155	Q8WTS6
10101	O60656
3562	P18505
45266800	P12319
11560787	Q9NZ42
5206	P47869
24759	Q96S86
64689	P05162
1110	O60568
161647	P11172
3715	P16662
53708	Q14432
439530	P62917
5957	Q9NUB1
122623	P48147
253602	P40429
156391	P10632
3085218	P35367
5327109	P61925
11281011	O75899
60490	P11712
3690	P24462
4543	P07550
60648	P30531
2435	P18825
439153	P48163
6102690	Q15788
4999	P14867
5288266	Q9Y6Y9
5073	P35348
164739	P23975
2079916	P49841
25154714	P08684
5284373	P30405
216326	Q96SW2
5281	Q9UNK4
643975	P47989
37632	P34903
3825	P35354
15942713	P41595
4601	P08684
1548972	P05177
4369234	P21964
2206	P11509
4539	P08684
5775	P08913
11960529	P09874
5359268	P02787
8223	P35368
28864	P14416
54746	P08908
5497171	P29466
2585	P08684
25011730	P54760
124823	P11217
446049	P15085
4891	P05177
447912	Q13133
11069133	P00918
441140	Q99456
441300	P22309
71360	P14416
8969	P10635
3763	P18507
68911	P20813
119570	P21728
3675	P20815
4943	P34903
3055	P11229
4369	P03956
77991	P10635
11005	O43617
702	P30926
5280961	Q92731
2811	A8MPY1
446814	Q16613
4763	P05181
60977	P10635
441298	P23219
448677	P00734
4058	P33261
122173811	P15328
6540268	P00742
446965	P01857
444655	Q92876
25210273	P07900
108092	P10635
3821	P11229
2856	Q12866
4078	P28223
4100	P43166
2801	P28223
439750	P29377
5403336	O14965
208924	P00441
3958	Q8N1C3
3305	Q13332
447905	P55055
2157	Q9NY47
9543517	Q16539
439153	P37059
4506	Q9UN88
5591	P20813
586	P17540
11441375	P35968
5291	P23219
681	P11712
25134252	P56817
33032	Q9Y646
3964	P08588
68617	P33261
5462222	P05023
247	P06276
24768549	P63208
2315	P22748
447076	P35558
4583	P05177
16078	P33261
6646	P08172
60795	P24462
24762195	P61925
49867144	P08758
2157	P11509
24941243	P35968
5757	P03372
24798097	P29475
5284543	P08684
4507	P20815
11963622	P04798
6446	P10275
702	P42262
5328940	P07948
3696	P50406
5591	P11474
97536	Q04760
6337614	P08684
9838022	P33261
4585	Q9H3N8
5881	P18505
445344	P42126
65866	P08684
3226	Q99928
10341154	P05231
