	Drug ID	Gene
0	DB00002	P08637
1	DB00002	P12314
2	DB00004	P31785
3	DB00005	P02747
4	DB00006	P00734
5	DB00011	P48551
6	DB00012	P19235
7	DB00013	Q9Y5Y6
8	DB00014	P22888
9	DB00015	P00747
10	DB00017	P30988
11	DB00022	P10635
12	DB00024	P16473
13	DB00025	P04070
14	DB00025	P00742
15	DB00027	P08183
16	DB00028	P12318
17	DB00028	P31995
18	DB00030	P98164
19	DB00030	P16870
20	DB00030	P05177
21	DB00031	Q03405
22	DB00031	P05121
23	DB00033	P38484
24	DB00034	P48551
25	DB00035	P47901
26	DB00036	P00742
27	DB00036	P10646
28	DB00040	P43220
29	DB00041	P35354
30	DB00041	P08684
31	DB00042	P63027
32	DB00043	Q01362
33	DB00045	O60603
34	DB00047	P06213
35	DB00048	P02458
36	DB00052	P08183
37	DB00054	P12318
38	DB00055	P35237
39	DB00055	P05154
40	DB00055	P07204
41	DB00056	O75015
42	DB00059	P05543
43	DB00060	P05177
44	DB00066	P23945
45	DB00067	P30518
46	DB00067	P30559
47	DB00068	P48551
48	DB00070	P02768
49	DB00071	P06213
50	DB00072	P04626
51	DB00080	P02790
52	DB00080	P04278
53	DB00081	P11836
54	DB00082	P10912
55	DB00083	P02768
56	DB00083	P60880
57	DB00087	P31995
58	DB00087	O75015
59	DB00087	P12314
60	DB00091	Q9Y6L6
61	DB00091	Q9UNQ0
62	DB00091	P49069
63	DB00092	P06729
64	DB00095	P20702
65	DB00098	P42081
66	DB00098	P31994
67	DB00102	P09619
68	DB00104	P05164
69	DB00105	P17181
70	DB00107	Q15109
71	DB00108	P13612
72	DB00108	P05362
73	DB00110	P13843
74	DB00110	P08637
75	DB00111	P12314
76	DB00111	P02745
77	DB00111	P31995
78	DB00112	P02745
79	DB00112	P15692
80	DB00112	P08637
81	DB00114	P11926
82	DB00114	Q59FK2
83	DB00114	Q9NUV7
84	DB00114	P35520
85	DB00114	P21549
86	DB00114	P04181
87	DB00114	P23378
88	DB00114	P00505
89	DB00114	Q8IVA8
90	DB00114	Q96EN8
91	DB00114	P24298
92	DB00114	Q5JAM2
93	DB00114	Q6WRI0
94	DB00114	Q96GD0
95	DB00115	Q9UBK8
96	DB00115	P33527
97	DB00116	P48728
98	DB00117	Q99624
99	DB00117	P12081
100	DB00118	Q8N1G2
101	DB00119	P14618
102	DB00119	P53985
103	DB00119	P30613
104	DB00119	P36021
105	DB00120	O95363
106	DB00121	P05165
107	DB00121	P50747
108	DB00121	Q9HCC0
109	DB00122	Q9GZV3
110	DB00122	O15244
111	DB00122	Q9Y5K3
112	DB00122	O76082
113	DB00122	Q8WWI5
114	DB00123	P30825
115	DB00125	P29474
116	DB00125	O76082
117	DB00126	Q6NS38
118	DB00126	P11166
119	DB00126	Q9NXG6
120	DB00126	O75936
121	DB00126	P02768
122	DB00126	P11169
123	DB00126	Q96Q83
124	DB00126	Q9BY66
125	DB00127	P11926
126	DB00127	Q9H015
127	DB00128	Q6PI48
128	DB00128	Q12797
129	DB00128	O75746
130	DB00128	P07998
131	DB00129	P54368
132	DB00129	P52569
133	DB00130	P15104
134	DB00130	P82251
135	DB00130	Q9UHI5
136	DB00130	Q01650
137	DB00131	Q13131
138	DB00131	O43741
139	DB00132	Q9NYP7
140	DB00133	P20132
141	DB00133	P35520
142	DB00134	Q99707
143	DB00135	P36021
144	DB00135	P07101
145	DB00138	Q9UPY5
146	DB00138	Q8TF71
147	DB00139	Q9BXA5
148	DB00140	Q4U2R8
149	DB00140	Q969G6
150	DB00141	Q9UK23
151	DB00142	Q9H1K4
152	DB00142	O14841
153	DB00142	O00341
154	DB00142	Q12879
155	DB00142	Q9Y617
156	DB00142	Q16099
157	DB00142	P43003
158	DB00142	Q9ULA0
159	DB00142	Q13255
160	DB00142	O94925
161	DB00142	Q13002
162	DB00142	P39086
163	DB00142	O15399
164	DB00142	Q8TD30
165	DB00142	Q13003
166	DB00142	P17174
167	DB00142	P54886
168	DB00143	P09211
169	DB00143	P48637
170	DB00143	P19440
171	DB00143	Q16772
172	DB00143	Q04760
173	DB00143	P14780
174	DB00143	O14880
175	DB00144	Q8WTV0
176	DB00144	P48651
177	DB00144	Q9Y2Q0
178	DB00145	Q9Y345
179	DB00145	Q9BYV1
180	DB00145	P34896
181	DB00145	Q14032
182	DB00145	Q9H598
183	DB00145	Q14957
184	DB00145	P22557
